Transaction_ID,Patron_ID,ISBN,Transaction_Type,Date,Due_Date,Staff_ID,Notes
T001,P001,9780132350884,Checkout,2024-10-01,2024-10-15,S005,Regular checkout
T002,P003,9781593279509,Checkout,2024-09-28,2024-10-12,S008,Renewed once
T003,P007,9780439708180,Checkout,2024-09-25,2024-10-09,S005,Student discount applied
T004,P002,9780525478812,Return,2024-10-02,,S008,Returned on time
T005,P005,9780735219090,Checkout,2024-09-20,2024-10-04,S005,Overdue - fees applied
T006,P009,9780345816023,Checkout,2024-09-30,2024-10-14,S007,Hold request fulfilled
T007,P004,9780062073488,Return,2024-10-03,,S008,Returned late - $2.50 fee
T008,P012,9780451524935,Checkout,2024-10-05,2024-10-19,S005,Regular checkout
T009,P006,9780525520610,Checkout,2024-10-04,2024-10-18,S008,New release
T010,P008,9780316015844,Return,2024-10-01,,S007,Damaged book - $15 fee
T011,P010,9780062420713,Checkout,2024-09-22,2024-10-06,S005,Faculty member - extended loan
T012,P014,9780553380163,Checkout,2024-10-06,2024-10-20,S008,Science department request
T013,P001,9780385537859,Return,2024-10-07,,S005,Returned early
T014,P011,9780140449136,Checkout,2024-10-02,2024-10-16,S007,Classic literature course
T015,P013,9780316769174,Overdue,2024-09-15,2024-09-29,S005,Multiple renewal attempts